text,sentiment,label
"module , ek program hoti hai , jismen ya to source code ya machine language ke form men instructions nihit hote hain.
",neutral,1.0
"aur hamne aume samood ke pas unke bhaee saleh ko paimbar banakar bheja to unhonne apni aum se kaha ae meri aum uda hi ki parastish karo uske siva koee tumhara mabood nahin usi ne tumko zamin ki mitti se paida kiya aur tumko usmen basaya to usse maphirat ki duaa mgon phir uski bargah men tauba karo beshak mera paravardigar har shash ke rib aur sabki sunta aur duaa ubool karta hai
",positive,2.0
"aur jab unhen yad dilaya jata hai , to ve yad nahin karte ,
",neutral,1.0
"tumhen ???? ka ted prize mil gaya hai
",positive,2.0
"unhonne bad science karne ke lie ye delhi university ke kirorimal college chale ge jahan inhonne vijnjan graduate ki degree prapt ki.
",neutral,1.0
"phir hamne unhen bheja, taki maloom karen ki calculate the length se kisne yad rakha hai ki kitni avdhi tak ve rahe
",positive,2.0
"kya aap vakee raddi men sare photos and videos khiskana chahte hain
",neutral,1.0
"malabar men khudaee ke kamron men rakhe hue bare-bare bartan mile hain jinme shav rakhe jate the.
",neutral,1.0
"aur dharti ko ek samatal desolate maidan banakar chhorega
",negative,0.0
"mujhe dekhne ke lie jab aap ?nlain ho dhanyvad!
",positive,2.0
"jo azasartapa un logon ke lie guidance v mercy hai
",positive,2.0
"france men is ek deed ki news bijli ki tarah phail jati hai aur people bhram se mut hokar pride mahsoos karte hain
",positive,2.0
"aapki refuse ko dekhne ke lie unhen permission mat den
",negative,0.0
"any upakarnon par tab page menu ke lie tab page prishth aksham karen
",neutral,1.0
"ends ke uddeshyon ki disposal se koson pendency , unka anirnay ya merits ke aadhar par niptan sunishchit roop se ends ke uddeshyon ko viphal kar dega
",positive,2.0
"use apne creatures par poorn adhikar prapt hai. aur vah wise, aware rakhnevala hai
",positive,2.0
"yadi yah aur pahle ka nahin , to bhi seventh century ka bana hai aur earlier mool roop se buddhist creed ke lie tha , kintu bad men vishnu temple men roopantrit kar diya gaya jismen principal deity recumbent hue vishnu ya anantasayin hain
",neutral,1.0
"hamne tumhen paida kiya phir tum sach kyon nahin mante
",positive,2.0
"aap prat 10 baje vahan ho tej
",neutral,1.0
"kuchh mahine hue vahan normal democratic elections hue aur phalasvroop vahan ek popular radical party lokapriy morcha-satta men aayi
",positive,2.0
"continue rakhen lagoo kar raha hai ke sath resolved conflicts
",negative,0.0
"koee organism or individual jis men mata aur pita in donon se hi prapt gunsutr ka ek dohra gut individual
",neutral,1.0
"aur hamne heaven se ek measure e sath water barsaya phir usko zamin men  hasab maslehat  thahrae rakha aur able to yainan uske aeb kar dene par bhi aboo rakhte hai
",positive,2.0
"puppet nirdeshkon ke samaksh satire , humour evn whole shakti ka snsar open para hai.
",positive,2.0
"par sharirik prem doosre tat-aatm-hanan-par bridge to cross physical love
",positive,2.0
"uski man lakari ke bane kukurmutte par koee phata darning a torn thi.
",negative,0.0
"pratyek jiv taste of death chakhnevala hai, aur tumhen to iyamat ke din poora-poora badla de diya jaega. ata jise aag jahannam se hatakar jannat men dail kar diya gaya, vah saphal raha. raha sansarik jivan, to vah maya-samagri ke siva kuchh bhi nahin
",negative,0.0
"fluctuations jute ke production men utar-chaav , low yield , cost sphiti , labour unrest , uncertain demand , obsolete machinery , kuchh iski major problems hain
",negative,0.0
"ek demographic dividend ke sath kee young lot
",neutral,1.0
"yadi aap yah mante hain ki aap kar sakte hain, to snbhavta aap kar sakte hain.
",neutral,1.0
"ek school men, har koee wearing jeans raha hai, har koee ek saman hai
",neutral,1.0
"pichhe ek bari sabhi huee jismen hakim sahab aur pndit meeting was called hue.
",neutral,1.0
"highest se highest amount jo mooly rup me di jani amount
",neutral,1.0
"ye the  turban , chnvron ki pair , umbrella , sword , sandals tatha royal that-bat se rahna.
",neutral,1.0
"aur ae rasool hamare bandon men ibrahim aur isha aur yakoob ko yad karo jo kuvat aur basirat vale the
",neutral,1.0
"spades ki place the ten place spades ke nahla ko rakhen
",neutral,1.0
"charls tilli Charles Tilly aatnk aatnkvad terrorist sociological theory 2004 22 5-13 men ?nlain
",negative,0.0
"evolution data v settings ka backup len v phir bhndarit karen
",neutral,1.0
"yah agricultural machinery , wholesale tatha retail bajar evn foreign trade ko bhi vitrit evn niyntrit karta hai.
",neutral,1.0
"hindi ki various dialects ka literature today bhi popular hai aur today bhi many poets aur writers apna work apni-apni regional bhashaon men karte hain.
",positive,2.0
"image ko 90 degrees par right ghumaen
",neutral,1.0
"aur kisi particular scope ke sndarbh men human ka arth ya children , is moreover ka nirnay ham logon ne kar bhi liya tab bhi aanevali pii ki sntanon men yah gun dikhaee dega , is moreover ki koee garnti nahin di ja dispute
",positive,2.0
"aaj tonight ek year poora ho jaega.
",neutral,1.0
"han, jaise ki doosro ke bare men mansik kalpnaen aur ray.
",positive,2.0
"air ki quality par new england ka american lung association
",neutral,1.0
